,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene1556,14.7681658464219,0.671160088928157,0.910907910148404,0.736803447912547,0.46124188613823,0.585606113798422
gene1557,43.8239584245462,0.936408973142647,0.646457030278998,1.44852469581545,0.147470364416969,0.250058444011382
gene1558,66.2549682000483,0.522372860305459,0.428591397985437,1.21881321641273,0.222915094060332,0.344225529908504
gene1559,26.1181691256643,-0.857433927816176,0.672152749397176,-1.27565338174272,0.202078074820561,0.32220134578912
gene1560,23.170873247793,1.24721798441538,0.804847956488647,1.54963179611797,0.121229916785463,0.217078363389947
gene1561,17.0361313379241,0.574057416912519,0.732201982141883,0.784015109100429,0.433031244765884,0.558842440300114
gene1562,0.903969669776615,2.4449325835513,2.88092923977492,0.848661102048556,0.396069896552297,0.525756499848182
gene1563,50.2903250251328,-1.04470951528324,0.478512468248551,-2.18324408370607,0.0290178399196367,0.0675236131781523
gene1564,6.53617149387948,-1.33054332265555,1.10514816721322,-1.20395016897209,0.228608839278726,0.350461663988613
gene1565,4.4473087992074,-2.56154020025173,1.44369587134817,-1.77429349982118,0.0760146152062704,0.148080419232994
gene1566,103.310581006307,-0.0617157089221248,0.517373240850372,-0.119286627233922,0.905048277772,0.93230012765737
gene1567,18.4366024226418,-1.09742779185766,0.840917094112828,-1.30503684553523,0.191880301729428,0.309951123762153
gene1568,115.349263827285,5.34747580469401,0.707713255612273,7.55599215118231,4.156789137773e-14,1.39754117563058e-12
gene1569,17.1074232419943,-1.07330056467413,0.722999081280415,-1.48451165770963,0.137673232765972,0.239485106060344
gene1570,28.5696136684674,4.15676574446778,0.7196044727563,5.77645901580646,7.62890739869734e-09,1.00516009644999e-07
gene1571,5.01944479011595,-2.39850019942036,1.30570763015961,-1.83693511780058,0.0662194742323404,0.132574922744419
gene1572,13.639427063873,-2.89225458927082,0.935405410221431,-3.09197975302084,0.00198826409961029,0.00732913987569012
gene1573,0.305329528580811,-1.73156341418858,3.81580590866179,-0.453787078178682,0.64998208498745,NA
gene1574,32.4963538469661,0.0809800205163175,0.613386801142793,0.132021133101405,0.894967576258536,0.924144711658867
gene1575,12.8172000517672,-1.90487000216345,1.08333305439714,-1.75834199319569,0.0786893365793065,0.152140143140512
gene1576,13.7898398490456,-2.24904997997067,0.845639541164503,-2.6595846935842,0.00782370569454943,0.0229416933900322
gene1577,25.0722101534983,0.18122514190931,0.554671273549216,0.326725306594105,0.74387565790145,0.818137356405994
gene1578,22.932023721882,0.0845411000407434,0.637589593228189,0.132594855591513,0.894513801139003,0.924144711658867
gene1579,23.5707088647245,2.52221032091065,0.711309501716839,3.54586901316933,0.000391320668798138,0.00176229862391771
gene1580,31.2271855850979,-2.19636422758447,0.606184118366943,-3.62326257161184,0.000290910239967994,0.00135711714817605
gene1581,0.399887608608319,0.839100032179079,3.77269693501755,0.222413845223212,0.823991734795942,NA
gene1582,345.810803330478,4.64810295933227,0.462870077597791,10.0419171259785,9.97169888407082e-24,1.0234112012599e-21
gene1583,0.609099048496289,-2.72389025715428,3.74821940958354,-0.726715797423643,0.467400074005639,0.588787851833361
gene1584,40.9048687321409,-1.67976203590821,0.531493746780645,-3.16045493683197,0.00157522969783707,0.00594138860886323
gene1585,373.436296066758,2.39977548007015,0.366165247462676,6.55380459150418,5.60893538479634e-11,1.12756948457246e-09
gene1586,14.8391592670606,-3.18366596411151,0.884231421758359,-3.60048951639895,0.000317618635830415,0.00145730903498661
gene1587,38.7908106292997,-0.206273063100312,0.540026516302081,-0.381968397612769,0.702484805604425,0.787267454556683
gene1588,44.7110253021253,0.269907364633956,0.743624755795959,0.362961779486555,0.716633435656792,0.798078354957592
gene1589,43.6479057224026,-0.508199649527708,0.552873036475295,-0.919197747040819,0.357992149351672,0.488854825795351
gene1590,81.6995367425806,2.14743381317216,0.480115456061091,4.47274459937178,7.7221989364404e-06,5.1303052232886e-05
gene1591,62.2239638744693,-2.71291876351307,0.463087342579937,-5.85833063024126,4.67543111075269e-09,6.55905803307032e-08
gene1592,254.028340727393,2.84754207287059,0.421770762230468,6.75139750752711,1.46427808744296e-11,3.17260252279309e-10
gene1593,4.61190589040919,-0.12349191038071,1.17248344182172,-0.105325078355766,0.916117863997311,0.939770697010066
gene1594,1.20448035316813,-3.70891374072555,2.87642693466985,-1.28941698327938,0.197253160254056,0.315641779772202
gene1595,7.24658961944273,-1.23165791717628,1.15978710790261,-1.06196896722161,0.288249773528497,0.420094961420455
gene1596,70.1060813684522,0.651148515250539,0.620517157815943,1.04936423924587,0.294010510402331,0.42511269025324
gene1597,64.3897655106518,0.626080014982021,0.519069174915728,1.2061591118056,0.2277561461561,0.349704318901098
gene1598,16.6610802680277,2.02683760007341,0.887560484166862,2.28360504577439,0.0223947529786525,0.0549305261740533
gene1599,6.11959636450311,-3.07239347289246,1.2341830508295,-2.48941473538102,0.0127953606004776,0.0343677040921919
gene1600,24.7509589133188,-1.70502466440111,0.657319018833337,-2.59390739587503,0.009489204182813,0.0270921642115452
gene1601,545.129625864364,1.58699670530776,0.329038019253405,4.82314083007398,1.41315119358746e-06,1.1386962097089e-05
gene1602,36.6615117830054,0.0754079182764588,0.704755412246897,0.106998707588557,0.914790005064726,0.939357825105958
gene1603,27.9652192200613,-2.44106663361931,0.636463884836625,-3.83535765622571,0.000125381705412066,0.000638366385257254
gene1604,8.0513028289182,1.23706436441823,1.1787624441237,1.04946027979189,0.293966327139041,0.42511269025324
gene1605,18.1116547625864,-7.61722210473462,1.4143373356937,-5.38571804087924,7.21560025691917e-08,7.444666931742e-07
gene1606,100.259810809208,2.2432145629341,0.481028282475829,4.66337353676667,3.11067374792271e-06,2.32406659327559e-05
gene1607,332.471688957777,2.27046863683096,0.408549535213637,5.55738886263498,2.73840231874883e-08,3.15969498317173e-07
gene1608,2.15849298348109,-0.885161673145842,1.72872075842827,-0.512032766905985,0.60862807724588,0.712807658035715
gene1609,1.21819809699258,-3.72386155944251,3.17644477389402,-1.17233631450088,0.24106205729777,0.366238444094097
gene1610,30.3097332879941,4.04391370947933,0.786854985881698,5.13933797464343,2.75708108724822e-07,2.53599439628964e-06
gene1611,41.8281073919496,1.04589347898927,0.495896561131442,2.10909605140828,0.0349362916292387,0.078667169372997
gene1612,30.0435078673027,0.783933957247825,0.638870049809087,1.2270632462456,0.219798820518377,0.342347198991006
gene1613,5.84939937561212,-0.809221226552915,1.06027249891468,-0.763220047092846,0.445332175011228,0.570854161432103
gene1614,1.23740363243295,0.447206093035818,2.22199261391654,0.201263537167013,0.840492512280699,0.889772203554486
gene1615,936.989322846731,-1.65872993679398,0.350156506174424,-4.73711014230796,2.16787356956557e-06,1.68420456599715e-05
gene1616,92.1159628430414,3.65662445435661,0.616109591594481,5.93502276907154,2.93804722686542e-09,4.24384599436116e-08
gene1617,2.67083192828147,-0.621978177706206,1.91834177620739,-0.324226988861115,0.745766190621916,0.818831121459873
gene1618,4.23893913177052,1.49571284173334,1.21941603455698,1.2265812481929,0.21998002068499,0.342347198991006
gene1619,2.25534129661251,-2.59581779479678,2.07634600245246,-1.25018556239218,0.2112317695926,0.334064842421387
gene1620,51.9730295313688,-0.638484997043666,0.505439229161154,-1.26322802071244,0.206507245505555,0.327730561722082
gene1621,17.4429342372501,-2.15336816248641,0.76280356692372,-2.82296551282612,0.00475816896187009,0.0149893852595261
gene1622,8.18619031695188,3.42173083276193,1.1613480797269,2.94634390196485,0.00321554672881201,0.0108482977875146
gene1623,5.72577415355289,-4.96343410112537,1.61525922205065,-3.07284059014629,0.00212031719620841,0.00771384054590747
gene1624,17.1834218960938,-4.64473352374398,1.0435809710085,-4.45076486902149,8.55649871778417e-06,5.56172416655971e-05
gene1625,18.7951766510576,-1.09755785558074,0.743706089434721,-1.47579517120127,0.139998887453527,0.242019353310619
gene1626,16.3969899760809,0.149913863637379,0.866764515972117,0.172958007480548,0.862684435269967,0.903176967410368
gene1627,39.4702393336165,-5.53889527249921,0.916839336277959,-6.04129322699564,1.52883843134725e-09,2.34742908750168e-08
gene1628,493.122898999501,0.752764104013066,0.366840823356387,2.05201835805977,0.0401678783286301,0.0875166064143338
gene1629,292.60909435143,0.200622617668612,0.360376568489967,0.556702724900377,0.577730554869403,0.684016139645012
gene1630,2.99752810297643,0.644742475855429,1.46396721370593,0.44040772895679,0.659641828061173,0.752223137262741
gene1631,46.3102262054766,-2.16227644549144,0.479708518035119,-4.50747978032181,6.56021800621553e-06,4.50437503947898e-05
gene1632,74.2615314893284,-2.73608911309642,0.459408859431396,-5.95567337661454,2.59003152966328e-09,3.76907573346522e-08
gene1633,8.74634373981922,-0.600032754614849,1.00417568447127,-0.597537626028843,0.550148493876159,0.663034340580043
